Ligand,nConfs,idock score (kcal/mol),RF-Score (pKd)
ligand_Maybridge_HitDiscoverCmpd33853_reduced,10,-11.22,7.30
ligand_Maybridge_HitDiscoverCmpd33854_reduced,10,-8.08,7.22
ligand_Maybridge_HitDiscoverCmpd33855_reduced,10,-9.20,7.69
ligand_Maybridge_HitDiscoverCmpd33856_reduced,10,-7.97,7.47
ligand_Maybridge_HitDiscoverCmpd33857_reduced,10,-9.22,7.50
ligand_Maybridge_HitDiscoverCmpd33858_reduced,10,-8.77,6.46
ligand_Maybridge_HitDiscoverCmpd33859_reduced,10,-9.91,6.88
ligand_Maybridge_HitDiscoverCmpd3385_reduced,10,-10.18,7.35
ligand_Maybridge_HitDiscoverCmpd33860_reduced,10,-10.11,7.89
ligand_Maybridge_HitDiscoverCmpd33861_reduced,10,-8.24,6.29
ligand_Maybridge_HitDiscoverCmpd33862_reduced,10,-7.40,5.51
ligand_Maybridge_HitDiscoverCmpd33863_reduced,10,-9.10,7.03
ligand_Maybridge_HitDiscoverCmpd33864_reduced,10,-8.58,7.60
ligand_Maybridge_HitDiscoverCmpd33865_reduced,10,-8.21,6.86
ligand_Maybridge_HitDiscoverCmpd33866_reduced,10,-10.05,8.32
ligand_Maybridge_HitDiscoverCmpd33867_reduced,10,-5.86,5.55
ligand_Maybridge_HitDiscoverCmpd33868_reduced,10,-6.79,5.75
ligand_Maybridge_HitDiscoverCmpd33869_reduced,10,-9.72,6.83
ligand_Maybridge_HitDiscoverCmpd3386_reduced,10,-9.44,7.04
ligand_Maybridge_HitDiscoverCmpd33870_reduced,10,-10.64,6.77
ligand_Maybridge_HitDiscoverCmpd33871_reduced,10,-7.26,6.48
ligand_Maybridge_HitDiscoverCmpd33873_reduced,10,-8.72,6.54
ligand_Maybridge_HitDiscoverCmpd33874_reduced,10,-10.08,8.42
ligand_Maybridge_HitDiscoverCmpd33875_reduced,10,-8.95,7.64
ligand_Maybridge_HitDiscoverCmpd33876_reduced,10,-8.96,7.91
ligand_Maybridge_HitDiscoverCmpd33877_reduced,10,-5.77,5.50
ligand_Maybridge_HitDiscoverCmpd33878_reduced,10,-6.94,5.77
ligand_Maybridge_HitDiscoverCmpd33879_reduced,10,-11.68,7.37
ligand_Maybridge_HitDiscoverCmpd3387_reduced,10,-9.65,7.08
ligand_Maybridge_HitDiscoverCmpd33880_reduced,10,-10.53,6.98
ligand_Maybridge_HitDiscoverCmpd33881_reduced,10,-7.87,6.72
ligand_Maybridge_HitDiscoverCmpd33882_reduced,10,-9.72,6.65
ligand_Maybridge_HitDiscoverCmpd33883_reduced,10,-9.01,6.39
ligand_Maybridge_HitDiscoverCmpd33884_reduced,10,-7.70,5.02
ligand_Maybridge_HitDiscoverCmpd33885_reduced,10,-7.33,7.38
ligand_Maybridge_HitDiscoverCmpd33886_reduced,10,-10.38,8.63
ligand_Maybridge_HitDiscoverCmpd33887_reduced,10,-9.05,7.85
ligand_Maybridge_HitDiscoverCmpd33888_reduced,10,-6.17,5.59
ligand_Maybridge_HitDiscoverCmpd33889_reduced,10,-11.31,7.35
ligand_Maybridge_HitDiscoverCmpd3388_reduced,10,-10.50,7.25
ligand_Maybridge_HitDiscoverCmpd33890_reduced,10,-11.78,7.23
ligand_Maybridge_HitDiscoverCmpd33891_reduced,10,-10.09,7.45
ligand_Maybridge_HitDiscoverCmpd33892_reduced,10,-10.06,6.84
ligand_Maybridge_HitDiscoverCmpd33893_reduced,10,-9.19,6.68
ligand_Maybridge_HitDiscoverCmpd33894_reduced,10,-7.34,6.57
ligand_Maybridge_HitDiscoverCmpd33895_reduced,10,-9.51,7.99
ligand_Maybridge_HitDiscoverCmpd33896_reduced,10,-9.50,8.58
ligand_Maybridge_HitDiscoverCmpd33897_reduced,10,-6.77,5.41
ligand_Maybridge_HitDiscoverCmpd33898_reduced,10,-6.68,4.73
ligand_Maybridge_HitDiscoverCmpd33899_reduced,10,-8.78,6.81
ligand_Maybridge_HitDiscoverCmpd3389_reduced,10,-7.81,6.65
ligand_Maybridge_HitDiscoverCmpd338_reduced,10,-9.44,7.44
ligand_Maybridge_HitDiscoverCmpd33900_reduced,10,-9.65,6.93
ligand_Maybridge_HitDiscoverCmpd33901_reduced,10,-8.33,6.86
ligand_Maybridge_HitDiscoverCmpd33902_reduced,10,-8.33,5.82
ligand_Maybridge_HitDiscoverCmpd33903_reduced,10,-8.44,6.74
ligand_Maybridge_HitDiscoverCmpd33904_reduced,10,-9.81,7.20
ligand_Maybridge_HitDiscoverCmpd33905_reduced,10,-7.68,5.56
ligand_Maybridge_HitDiscoverCmpd33906_reduced,10,-8.23,7.50
ligand_Maybridge_HitDiscoverCmpd33907_reduced,10,-7.04,5.07
ligand_Maybridge_HitDiscoverCmpd33908_reduced,10,-7.45,5.25
ligand_Maybridge_HitDiscoverCmpd33909_reduced,10,-9.78,7.43
ligand_Maybridge_HitDiscoverCmpd3390_reduced,10,-6.86,6.51
ligand_Maybridge_HitDiscoverCmpd33910_reduced,10,-10.52,6.70
ligand_Maybridge_HitDiscoverCmpd33911_reduced,10,-8.80,7.13
ligand_Maybridge_HitDiscoverCmpd33913_reduced,10,-10.19,6.84
ligand_Maybridge_HitDiscoverCmpd33914_reduced,10,-8.92,6.71
ligand_Maybridge_HitDiscoverCmpd33915_reduced,10,-9.75,5.83
ligand_Maybridge_HitDiscoverCmpd33916_reduced,10,-8.22,7.99
ligand_Maybridge_HitDiscoverCmpd33917_reduced,10,-8.38,7.02
ligand_Maybridge_HitDiscoverCmpd33918_reduced,10,-9.40,7.00
ligand_Maybridge_HitDiscoverCmpd3391_reduced,10,-9.89,6.88
ligand_Maybridge_HitDiscoverCmpd33920_reduced,10,-9.05,6.52
ligand_Maybridge_HitDiscoverCmpd33921_reduced,10,-9.65,7.29
ligand_Maybridge_HitDiscoverCmpd33923_reduced,10,-8.66,6.04
ligand_Maybridge_HitDiscoverCmpd33924_reduced,10,-6.63,5.03
ligand_Maybridge_HitDiscoverCmpd33925_reduced,10,-8.39,5.75
ligand_Maybridge_HitDiscoverCmpd33926_reduced,10,-4.74,4.19
ligand_Maybridge_HitDiscoverCmpd33927_reduced,10,-9.52,7.13
ligand_Maybridge_HitDiscoverCmpd33928_reduced,10,-8.93,7.06
ligand_Maybridge_HitDiscoverCmpd3392_reduced,10,-10.05,6.80
ligand_Maybridge_HitDiscoverCmpd33930_reduced,10,-8.63,7.13
ligand_Maybridge_HitDiscoverCmpd33931_reduced,10,-9.90,7.80
ligand_Maybridge_HitDiscoverCmpd33933_reduced,10,-8.69,6.95
ligand_Maybridge_HitDiscoverCmpd33934_reduced,10,-6.60,5.00
ligand_Maybridge_HitDiscoverCmpd33935_reduced,10,-8.56,6.00
ligand_Maybridge_HitDiscoverCmpd33936_reduced,10,-11.37,7.59
ligand_Maybridge_HitDiscoverCmpd33937_reduced,10,-7.26,5.97
ligand_Maybridge_HitDiscoverCmpd33938_reduced,10,-9.34,6.77
ligand_Maybridge_HitDiscoverCmpd33939_reduced,10,-9.29,6.12
ligand_Maybridge_HitDiscoverCmpd3393_reduced,10,-10.33,7.26
ligand_Maybridge_HitDiscoverCmpd33940_reduced,10,-7.33,5.60
ligand_Maybridge_HitDiscoverCmpd33941_reduced,10,-9.50,6.91
ligand_Maybridge_HitDiscoverCmpd33942_reduced,10,-9.04,6.56
ligand_Maybridge_HitDiscoverCmpd33943_reduced,10,-9.58,6.58
ligand_Maybridge_HitDiscoverCmpd33944_reduced,10,-5.53,5.42
ligand_Maybridge_HitDiscoverCmpd33945_reduced,10,-8.04,5.94
ligand_Maybridge_HitDiscoverCmpd33946_reduced,10,-8.97,6.96
ligand_Maybridge_HitDiscoverCmpd33947_reduced,10,-7.94,6.25
ligand_Maybridge_HitDiscoverCmpd33948_reduced,10,-8.14,6.82
ligand_Maybridge_HitDiscoverCmpd33949_reduced,10,-6.90,5.29
ligand_Maybridge_HitDiscoverCmpd3394_reduced,10,-11.92,8.04
ligand_Maybridge_HitDiscoverCmpd33950_reduced,10,-6.46,5.68
ligand_Maybridge_HitDiscoverCmpd33951_reduced,10,-8.50,5.98
ligand_Maybridge_HitDiscoverCmpd33952_reduced,10,-9.26,6.51
ligand_Maybridge_HitDiscoverCmpd33953_reduced,10,-10.17,6.71
ligand_Maybridge_HitDiscoverCmpd33954_reduced,10,-6.93,5.28
ligand_Maybridge_HitDiscoverCmpd33955_reduced,10,-8.22,5.69
ligand_Maybridge_HitDiscoverCmpd33956_reduced,10,-9.29,7.43
ligand_Maybridge_HitDiscoverCmpd33957_reduced,10,-7.53,6.25
ligand_Maybridge_HitDiscoverCmpd33958_reduced,10,-9.32,6.87
ligand_Maybridge_HitDiscoverCmpd33959_reduced,10,-9.93,6.68
ligand_Maybridge_HitDiscoverCmpd3395_reduced,10,-10.48,7.43
ligand_Maybridge_HitDiscoverCmpd33960_reduced,10,-9.12,6.45
ligand_Maybridge_HitDiscoverCmpd33961_reduced,10,-6.54,7.53
